"standardized_name"	"raw_name"
"d$Control_Yld"	"d$Control_Yld"	character(0)
"d$OM_applied"	"d$OM_applied"	character(0)
"d$sub_source_id"	"d$sub_source_id"	d$reference
"d$fertilizer_type_1"	"d$fertilizer_type_1"	character(0)
"d$fertilizer_type_2"	"d$fertilizer_type_2"	character(0)
"d$comments"	"d$comments"	c("d$reference", "d$P", "d$N")
"d$reference"	"d$reference"	d$comments
"d$crop_system"	"d$crop_system"	character(0)
"d$Rep"	"d$Rep"	character(0)
"d$fertilizer"	"d$fertilizer"	character(0)
"d$field"	"d$field"	character(0)
"d$Country"	"d$Country"	character(0)
"d$Region"	"d$Region"	character(0)
"d$LGA"	"d$LGA"	character(0)
"d$village"	"d$village"	character(0)
"d$Planting"	"d$Planting"	character(0)
"d$Harvest"	"d$Harvest"	character(0)
"d$Crop"	"d$Crop"	character(0)
"d$Variety"	"d$Variety"	character(0)
"d$Biomass"	"d$Biomass"	character(0)
"d$Yield"	"d$Yield"	character(0)
"d$Stover"	"d$Stover"	character(0)
"d$Soil"	"d$Soil"	character(0)
"d$BIOMASS"	"d$BIOMASS"	character(0)
"d$STRAW"	"d$STRAW"	character(0)
"d$TKW"	"d$TKW"	character(0)
"d$FERT"	"d$FERT"	character(0)
"d$tillage"	"d$tillage"	d$TIL
"d$crop_rotation"	"d$crop_rotation"	character(0)
"d$id"	"d$id"	character(0)
"d$str_rat1"	"d$str_rat1"	character(0)
"d$str_ra1_in"	"d$str_ra1_in"	character(0)
"d$str_ra1_un"	"d$str_ra1_un"	character(0)
"d$str_rat2"	"d$str_rat2"	character(0)
"d$str_ra2_in"	"d$str_ra2_in"	character(0)
"d$str_ra2_un"	"d$str_ra2_un"	character(0)
"d$str_co1"	"d$str_co1"	character(0)
"d$str_co1_in"	"d$str_co1_in"	character(0)
"d$str_co1_un"	"d$str_co1_un"	character(0)
"d$str_co2"	"d$str_co2"	character(0)
"d$str_co2_in"	"d$str_co2_in"	character(0)
"d$str_co2_un"	"d$str_co2_un"	character(0)
"d$str_co3"	"d$str_co3"	character(0)
"d$str_co3_in"	"d$str_co3_in"	character(0)
"d$str_co3_un"	"d$str_co3_un"	character(0)
"d$aezone"	"d$aezone"	character(0)
"d$striga_infected"	"d$striga_infected"	character(0)
"d$yield2"	"d$yield2"	character(0)
"d$x_1000gwt"	"d$x_1000gwt"	character(0)
"d$description"	"d$description"	character(0)
"d$fertlizer_type"	"d$fertlizer_type"	character(0)
